Hydrology,Scenario,Representative_w,Date,Year,Month,StorageHm3,TurbineHm3,SpillHm3,ReleaseHm3
Baseline,REF,w23,2025-01-01,2025,1,178.4019161,739.0010188,555.040733,1294.041752
Baseline,REF,w23,2025-02-01,2025,2,206.3786213,717.6410466,587.4288378,1305.069884
Baseline,REF,w23,2025-03-01,2025,3,187.07371,891.7318656,555.1828683,1446.914734
Baseline,REF,w23,2025-04-01,2025,4,232.2596431,840.2969775,480.5723662,1320.869344
Baseline,REF,w23,2025-05-01,2025,5,203.3334827,879.5995019,567.2528187,1446.852321
Baseline,REF,w23,2025-06-01,2025,6,225.0016688,819.9726743,507.3691877,1327.341862
Baseline,REF,w23,2025-07-01,2025,7,245.5174931,863.4008347,502.8892826,1366.290117
Baseline,REF,w23,2025-08-01,2025,8,232.5560079,715.7474162,699.1755542,1414.92297
Baseline,REF,w23,2025-09-01,2025,9,210.2851899,704.4580519,729.0835839,1433.541636
Baseline,REF,w23,2025-10-01,2025,10,187.3917642,724.9178785,709.8689731,1434.786852
Baseline,REF,w23,2025-11-01,2025,11,164.8325,733.3162447,700.8022836,1434.118528
Baseline,REF,w23,2025-12-01,2025,12,178.4019161,679.9172679,668.3744839,1348.291752
Baseline,REF,w23,2026-01-01,2026,1,164.8325,670.8432913,663.9067087,1334.75
Baseline,REF,w23,2026-02-01,2026,2,280.8670426,653.9761053,487.4202669,1141.396372
Baseline,REF,w23,2026-03-01,2026,3,190.7111339,864.1813432,715.4846478,1579.665991
Baseline,REF,w23,2026-04-01,2026,4,167.8306862,900.180157,536.7629212,1436.943078
Baseline,REF,w23,2026-05-01,2026,5,164.8325,859.0490079,538.9455507,1397.994559
Baseline,REF,w23,2026-06-01,2026,6,235.2506946,793.332625,454.8309859,1248.163611
Baseline,REF,w23,2026-07-01,2026,7,317.1962505,708.0070414,454.7380961,1162.745138
Baseline,REF,w23,2026-08-01,2026,8,254.8325,740.2816527,835.8095989,1576.091252
Baseline,REF,w23,2026-09-01,2026,9,227.4889054,768.4947436,675.1924456,1443.687189
Baseline,REF,w23,2026-10-01,2026,10,192.365111,769.1040214,690.1435673,1459.247589
Baseline,REF,w23,2026-11-01,2026,11,173.6930146,719.3537617,706.990431,1426.344193
Baseline,REF,w23,2026-12-01,2026,12,164.8325,713.7069253,693.014104,1406.721029
Baseline,REF,w23,2027-01-01,2027,1,164.8325,702.9362955,631.8137045,1334.75
Baseline,REF,w23,2027-02-01,2027,2,252.5825,693.0386475,533.2113525,1226.25
Baseline,REF,w23,2027-03-01,2027,3,164.8325,872.0959621,679.6540379,1551.75
Baseline,REF,w23,2027-04-01,2027,4,181.3340181,842.4382243,499.2119105,1341.650135
Baseline,REF,w23,2027-05-01,2027,5,164.8325,882.9435475,553.4063177,1436.349865
Baseline,REF,w23,2027-06-01,2027,6,169.3834369,847.1802417,528.1669477,1375.347189
Baseline,REF,w23,2027-07-01,2027,7,238.2855738,773.7834933,481.9631697,1255.746663
Baseline,REF,w23,2027-08-01,2027,8,319.1564215,740.8143942,499.1939104,1240.008305
Baseline,REF,w23,2027-09-01,2027,9,229.6887701,718.3543065,836.8309961,1555.185303
Baseline,REF,w23,2027-10-01,2027,10,193.1096856,728.7378424,733.4203268,1462.158169
Baseline,REF,w23,2027-11-01,2027,11,192.1631131,723.6319636,639.9305683,1363.562532
Baseline,REF,w23,2027-12-01,2027,12,164.8325,726.9359552,744.0558841,1470.991839
Baseline,REF,w23,2028-01-01,2028,1,164.8325,682.0288943,652.7211057,1334.75
Baseline,REF,w23,2028-02-01,2028,2,252.5825,733.7933089,492.4566911,1226.25
Baseline,REF,w23,2028-03-01,2028,3,186.1052234,810.9789644,676.9528655,1487.93183
Baseline,REF,w23,2028-04-01,2028,4,201.0356886,817.8758681,526.3327363,1344.208604
Baseline,REF,w23,2028-05-01,2028,5,191.2314539,889.8700186,554.9416393,1444.811658
Baseline,REF,w23,2028-06-01,2028,6,223.8528531,780.3920161,484.3448327,1264.736849
Baseline,REF,w23,2028-07-01,2028,7,317.6856585,772.5040014,424.9975822,1197.501584
Baseline,REF,w23,2028-08-01,2028,8,387.393048,749.3129332,492.3501735,1241.663107
Baseline,REF,w23,2028-09-01,2028,9,301.9904522,736.3518737,847.0706387,1583.422512
Baseline,REF,w23,2028-10-01,2028,10,252.7111097,761.3086603,773.4079767,1534.716637
Baseline,REF,w23,2028-11-01,2028,11,184.5616448,724.5795647,800.7193651,1525.29893
Baseline,REF,w23,2028-12-01,2028,12,164.8325,745.1703942,683.2878954,1428.45829
Baseline,REF,w23,2029-01-01,2029,1,164.8325,722.2295675,612.5204325,1334.75
Baseline,REF,w23,2029-02-01,2029,2,252.5825,709.1185903,517.1314097,1226.25
Baseline,REF,w23,2029-03-01,2029,3,167.2664856,857.8080247,689.074004,1546.882029
Baseline,REF,w23,2029-04-01,2029,4,168.0004225,861.6230703,522.7411334,1384.364204
Baseline,REF,w23,2029-05-01,2029,5,198.5151846,843.8029783,487.3354201,1331.138398
Baseline,REF,w23,2029-06-01,2029,6,197.8333761,844.1472238,513.2155171,1357.362741
Baseline,REF,w23,2029-07-01,2029,7,308.4534529,731.0019017,416.1378678,1147.13977
Baseline,REF,w23,2029-08-01,2029,8,286.3466369,696.9912853,672.7345798,1369.725865
Baseline,REF,w23,2029-09-01,2029,9,232.1401683,746.3696386,868.1520184,1614.521657
Baseline,REF,w23,2029-10-01,2029,10,185.2063353,754.3948327,728.4728332,1482.867666
Baseline,REF,w23,2029-11-01,2029,11,177.1760191,696.8990146,708.1616177,1405.060632
Baseline,REF,w23,2029-12-01,2029,12,164.8325,702.0104565,711.6765817,1413.687038
Baseline,REF,w23,2030-01-01,2030,1,164.8325,936.1562721,398.5937279,1334.75
Baseline,REF,w23,2030-02-01,2030,2,164.8325,907.8172791,481.1827209,1389
Baseline,REF,w23,2030-03-01,2030,3,216.5684345,937.1739195,296.618277,1233.792197
Baseline,REF,w23,2030-04-01,2030,4,164.8325,670.9882879,873.2195156,1544.207803
Baseline,REF,w23,2030-05-01,2030,5,164.8325,959.4698024,429.5301976,1389
Baseline,REF,w23,2030-06-01,2030,6,185.10789,676.2663937,651.9074362,1328.17383
Baseline,REF,w23,2030-07-01,2030,7,254.8325,975.2403708,294.5857993,1269.82617
Baseline,REF,w23,2030-08-01,2030,8,228.6405413,908.5935485,468.9823275,1377.575876
Baseline,REF,w23,2030-09-01,2030,9,199.77718,925.616189,549.9738951,1475.590084
Baseline,REF,w23,2030-10-01,2030,10,191.0084588,965.5498989,449.7562645,1415.306163
Baseline,REF,w23,2030-11-01,2030,11,198.2598788,823.8084152,576.8647036,1400.673119
Baseline,REF,w23,2030-12-01,2030,12,164.8325,920.0000015,535.8547561,1455.854758
Baseline,REF,w23,2031-01-01,2031,1,184.2095234,946.4289932,330.1899366,1276.61893
Baseline,REF,w23,2031-02-01,2031,2,252.5825,919.7894856,364.5915846,1284.38107
Baseline,REF,w23,2031-03-01,2031,3,164.8325,985.406729,566.343271,1551.75
Baseline,REF,w23,2031-04-01,2031,4,178.1464551,1061.736693,287.3214414,1349.058135
Baseline,REF,w23,2031-05-01,2031,5,217.62881,963.1856815,307.3672538,1270.552935
Baseline,REF,w23,2031-06-01,2031,6,164.8325,1058.502055,488.8868753,1547.38893
Baseline,REF,w23,2031-07-01,2031,7,231.7065241,685.414827,502.9631006,1188.377928
Baseline,REF,w23,2031-08-01,2031,8,312.2878171,922.1694804,385.2919579,1307.461438
Baseline,REF,w23,2031-09-01,2031,9,164.8325,931.8512804,739.3093537,1671.160634
Baseline,REF,w23,2031-10-01,2031,10,164.8325,932.4848447,456.5151553,1389
Baseline,REF,w23,2031-11-01,2031,11,180.3114047,920.8618425,437.180348,1358.042191
Baseline,REF,w23,2031-12-01,2031,12,184.2095234,928.7281118,433.0986275,1361.826739
Baseline,REF,w23,2032-01-01,2032,1,174.08,915.2193397,410.2831603,1325.5025
Baseline,REF,w23,2032-02-01,2032,2,252.5825,918.5222505,316.9752495,1235.4975
Baseline,REF,w23,2032-03-01,2032,3,164.8325,737.9252691,813.8247309,1551.75
Baseline,REF,w23,2032-04-01,2032,4,176.9698358,553.9117063,810.8136221,1364.725328
Baseline,REF,w23,2032-05-01,2032,5,204.3623202,756.1432142,538.5419968,1294.685211
Baseline,REF,w23,2032-06-01,2032,6,164.8325,492.9927281,1014.596732,1507.589461
Baseline,REF,w23,2032-07-01,2032,7,189.4879311,783.6425858,556.0465521,1339.689138
Baseline,REF,w23,2032-08-01,2032,8,164.8325,922.5391341,515.771728,1438.310862
Baseline,REF,w23,2032-09-01,2032,9,176.4236622,891.8129041,474.0047715,1365.817676
Baseline,REF,w23,2032-10-01,2032,10,213.9584559,828.0545604,485.8758522,1313.930413
Baseline,REF,w23,2032-11-01,2032,11,205.6304695,955.8190529,449.83692,1405.655973
Baseline,REF,w23,2032-12-01,2032,12,174.08,943.8708837,517.4775553,1461.348439
Baseline,REF,w23,2033-01-01,2033,1,164.8325,905.7661191,428.9838809,1334.75
Baseline,REF,w23,2033-02-01,2033,2,252.5825,892.0012493,334.2487507,1226.25
Baseline,REF,w23,2033-03-01,2033,3,168.6279145,497.8741636,1042.489593,1540.363757
Baseline,REF,w23,2033-04-01,2033,4,164.8325,856.9387508,543.4474926,1400.386243
Baseline,REF,w23,2033-05-01,2033,5,164.8325,413.113353,975.886647,1389
Baseline,REF,w23,2033-06-01,2033,6,250.674937,733.5332016,483.7819245,1217.315126
Baseline,REF,w23,2033-07-01,2033,7,343.9522338,655.2087932,458.1168794,1113.325673
Baseline,REF,w23,2033-08-01,2033,8,347.5928123,899.923117,388.1551474,1288.078264
Baseline,REF,w23,2033-09-01,2033,9,307.7897887,953.312776,645.096295,1598.409071
Baseline,REF,w23,2033-10-01,2033,10,258.5701943,1023.516376,513.1424069,1536.658783
Baseline,REF,w23,2033-11-01,2033,11,221.9126808,1012.812889,414.6546513,1427.46754
Baseline,REF,w23,2033-12-01,2033,12,164.8325,974.3076762,567.4378663,1541.745543
Baseline,REF,w23,2034-01-01,2034,1,192.4831625,874.4088426,377.3891699,1251.798013
Baseline,REF,w23,2034-02-01,2034,2,252.5825,943.3319058,365.8700817,1309.201987
Baseline,REF,w23,2034-03-01,2034,3,164.8325,832.5620203,719.1879797,1551.75
Baseline,REF,w23,2034-04-01,2034,4,164.8325,764.2083058,624.7916942,1389
Baseline,REF,w23,2034-05-01,2034,5,164.8325,569.7129296,819.2870704,1389
Baseline,REF,w23,2034-06-01,2034,6,190.1771771,761.3457685,576.9648773,1338.310646
Baseline,REF,w23,2034-07-01,2034,7,357.7325636,599.3553197,351.6338437,950.9891634
Baseline,REF,w23,2034-08-01,2034,8,321.2119005,931.3567123,567.2052771,1498.561989
Baseline,REF,w23,2034-09-01,2034,9,281.8508689,1045.853126,462.9544864,1508.807613
Baseline,REF,w23,2034-10-01,2034,10,284.3929452,901.9702595,387.6789936,1289.649253
Baseline,REF,w23,2034-11-01,2034,11,203.1363609,1064.324042,568.4457111,1632.769753
Baseline,REF,w23,2034-12-01,2034,12,192.4831625,916.7581191,504.2014763,1420.959595
Baseline,REF,w23,2035-01-01,2035,1,186.441441,901.2563173,373.1324664,1274.388784
Baseline,REF,w23,2035-02-01,2035,2,252.5825,888.1991737,398.4120425,1286.611216
Baseline,REF,w23,2035-03-01,2035,3,164.8325,851.0296277,700.7203723,1551.75
Baseline,REF,w23,2035-04-01,2035,4,164.8325,844.7794946,544.2205054,1389
Baseline,REF,w23,2035-05-01,2035,5,164.8325,319.8930552,1069.106945,1389
Baseline,REF,w23,2035-06-01,2035,6,197.9107808,821.9130872,500.9303513,1322.843438
Baseline,REF,w23,2035-07-01,2035,7,254.8325,730.034216,545.1223455,1275.156562
Baseline,REF,w23,2035-08-01,2035,8,194.3494982,917.9721715,591.993832,1509.966004
Baseline,REF,w23,2035-09-01,2035,9,227.3542081,903.3452063,419.645374,1322.99058
Baseline,REF,w23,2035-10-01,2035,10,189.7049271,940.6329736,523.6655884,1464.298562
Baseline,REF,w23,2035-11-01,2035,11,278.2087805,899.1736076,334.8161856,1233.989793
Baseline,REF,w23,2035-12-01,2035,12,186.441441,1000.843506,532.5503384,1533.393845
Baseline,REF,w23,2036-01-01,2036,1,164.8325,907.1525464,427.5974536,1334.75
Baseline,REF,w23,2036-02-01,2036,2,252.5825,919.4604728,306.7895272,1226.25
Baseline,REF,w23,2036-03-01,2036,3,164.8325,812.743807,739.006193,1551.75
Baseline,REF,w23,2036-04-01,2036,4,164.8325,549.4999339,839.5000661,1389
Baseline,REF,w23,2036-05-01,2036,5,164.8325,340.1259987,1048.874001,1389
Baseline,REF,w23,2036-06-01,2036,6,164.8325,492.6384688,896.3615312,1389
Baseline,REF,w23,2036-07-01,2036,7,219.7431032,309.1991153,969.9796783,1279.178794
Baseline,REF,w23,2036-08-01,2036,8,195.129602,911.7189978,526.5080046,1438.227002
Baseline,REF,w23,2036-09-01,2036,9,188.7688081,879.6177829,498.1674967,1377.78528
Baseline,REF,w23,2036-10-01,2036,10,252.5825,970.4767403,327.5821841,1298.058924
Baseline,REF,w23,2036-11-01,2036,11,175.2904654,949.2226943,581.611375,1530.834069
Baseline,REF,w23,2036-12-01,2036,12,164.8325,937.6919037,472.224027,1409.915931
Baseline,REF,w23,2037-01-01,2037,1,174.08,901.7832453,423.7192547,1325.5025
Baseline,REF,w23,2037-02-01,2037,2,252.5825,854.5621879,380.9353121,1235.4975
Baseline,REF,w23,2037-03-01,2037,3,164.8325,574.0942782,977.6557218,1551.75
Baseline,REF,w23,2037-04-01,2037,4,220.8943195,455.2904848,765.5240568,1220.814542
